成品名	来源	原始文件名/URL	是否裁切	裁切区域	状态	备注
上师尊容-15	龙洋仁波切相册	DM_20250826081448_001.jpg	是	L48 T127 R0 B0	ok	2732x1536→1500x787 227K→82K
上师尊容-16	龙洋仁波切相册	DM_20250826081813_002.png	否	-	ok	2700x1149→1500x638 1469K→20K
上师尊容-17	龙洋仁波切相册	mmexport1756365650725.jpg	是	L0 T178 R0 B0	ok	1280x1921→1101x1500 766K→73K
上师尊容-18	龙洋仁波切相册	DM_20250826082253_002.jpg	否	-	ok	1532x1390→1500x1360 450K→83K
上师尊容-19	龙洋仁波切相册	DM_20250826082253_010.jpg	否	-	ok	1532x1390→1500x1360 296K→61K
上师尊容-20	龙洋仁波切相册	DM_20250826081813_003.png	否	-	ok	932x770→932x770 1121K→48K
上师尊容-21	龙洋仁波切相册	mmexport1756365647449.jpg	否	-	ok	1080x1620→1000x1500 686K→75K
上师尊容-22	龙洋仁波切相册	mmexport1777267775659.jpg	否	-	ok	1120x1366→1120x1366 171K→109K
上师尊容-23	龙洋仁波切相册	DM_20250826082046_003.jpg	否	-	ok	1077x832→1077x832 275K→29K
上师尊容-24	龙洋仁波切相册	DM_20250826082000_008.jpg	否	-	ok	1123x788→1123x788 418K→46K
上师尊容-25	龙洋仁波切相册	DM_20250826082000_003.jpg	否	-	ok	1199x733→1199x733 81K→51K
上师尊容-26	龙洋仁波切相册	DM_20250826081940_007.jpg	否	-	ok	1200x779→1200x779 433K→43K
上师尊容-27	龙洋仁波切相册	DM_20250826081920_011.jpg	否	-	ok	1200x709→1200x709 391K→39K
上师尊容-28	龙洋仁波切相册	DM_20250826081940_006.jpg	否	-	ok	1080x718→1080x718 105K→67K
上师尊容-29	龙洋仁波切相册	DM_20250826082110_002.jpg	否	-	ok	1024x683→1024x683 303K→30K
上师尊容-30	龙洋仁波切相册	DM_20250826081813_009.png	是	L0 T0 R37 B0	ok	952x472→915x472 454K→17K
上师尊容-31	龙洋仁波切相册	DM_20250826081920_004.png	否	-	ok	828x538→828x538 802K→39K
上师尊容-32	龙洋仁波切相册	mmexport1756513650179.jpg	否	-	ok	1080x608→1080x608 258K→28K
上师尊容-33	龙洋仁波切相册	mmexport1757489514632.jpg	否	-	ok	1236x1440→1236x1440 89K→56K
上师尊容-34	龙洋仁波切相册	DM_20250826081448_008.png	否	-	ok	1998x1050→1500x788 3421K→113K
上师尊容-35	龙洋仁波切相册	DM_20250826082046_011.png	否	-	ok	808x562→808x562 742K→35K
上师尊容-36	龙洋仁波切相册（微信截图裁取）	Screenshot_2026-08-01-15-07-54-254_com.tencent.mm.jpg	是	y 14–84%，修边:T206	ok	帧内水印已避让；配文保守；判重=与库内无同帧；比例人工标尺判定
上师尊容-37	龙洋仁波切相册（微信截图裁取）	Screenshot_2026-08-01-15-08-13-538_com.tencent.mm.jpg	是	y 14–85%，修边:B13	ok	帧内水印已避让；配文保守；判重=与库内无同帧；比例人工标尺判定
上师尊容-38	龙洋仁波切相册（微信截图裁取）	Screenshot_2025-08-31-15-38-30-252_com.tencent.mm.jpg	是	y 12–84%，修边:B8	ok	帧内水印已避让；配文保守；判重=与库内无同帧；比例人工标尺判定
上师尊容-39	龙洋仁波切相册（微信截图裁取）	Screenshot_2025-08-31-15-38-37-667_com.tencent.mm.jpg	是	y 14–85%，修边:L48 T259	ok	帧内水印已避让；配文保守；判重=与库内无同帧；比例人工标尺判定
上师尊容-40	龙洋仁波切相册（微信截图裁取）	Screenshot_2025-08-31-15-40-41-004_com.tencent.mm.jpg	是	x 0–86%, y 12–84%，修边:-	ok	帧内水印已避让；配文保守；判重=与库内无同帧；比例人工标尺判定
上师尊容-41	龙洋仁波切相册（微信截图裁取）	Screenshot_2025-10-02-23-28-19-697_com.tencent.mm.jpg	是	y 12–85%，修边:T446 B34	ok	帧内水印已避让；配文保守；判重=与库内无同帧；比例人工标尺判定
上师尊容-42	龙洋仁波切相册（微信截图裁取）	Screenshot_2026-03-25-01-36-34-658_com.tencent.mm.jpg	是	y 12–85%，修边:T219	ok	帧内水印已避让；配文保守；判重=与库内无同帧；比例人工标尺判定
上师尊容-43	龙洋仁波切相册（微信截图裁取）	Screenshot_2026-03-25-01-36-41-317_com.tencent.mm.jpg	是	x 0–92%, y 12–84%，修边:T376	ok	帧内水印已避让；配文保守；判重=与库内无同帧；比例人工标尺判定
上师尊容-44	龙洋仁波切相册（微信截图裁取）	Screenshot_2026-03-25-01-37-01-146_com.tencent.mm.jpg	是	y 12–86%，修边:T391	ok	帧内水印已避让；配文保守；判重=与库内无同帧；比例人工标尺判定
上师尊容-45	龙洋仁波切相册（微信截图裁取）	Screenshot_2026-03-25-01-37-11-243_com.tencent.mm.jpg	是	y 12–86%，修边:T219	ok	帧内水印已避让；配文保守；判重=与库内无同帧；比例人工标尺判定
上师尊容-46	龙洋仁波切相册（微信截图裁取）	Screenshot_2026-04-06-16-57-25-791_com.tencent.mm.jpg	是	x 0–90%, y 12–82%，修边:L211	ok	帧内水印已避让；配文保守；判重=与库内无同帧；比例人工标尺判定
上师尊容-47	龙洋仁波切相册（微信截图裁取）	Screenshot_2026-04-28-21-24-08-277_com.tencent.mm.jpg	是	y 12–85%，修边:T213 B38	ok	帧内水印已避让；配文保守；判重=与库内无同帧；比例人工标尺判定
寺院风貌-01	多智钦寺相册	DM_20250826082235_002.jpg	-	ok	是	配文保守统一「寺院风貌」，逐张精名待小谦实地校订
寺院风貌-02	多智钦寺相册	DM_20250826082346_024.jpg	-	ok	是	配文保守统一「寺院风貌」，逐张精名待小谦实地校订
